Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498341600.0 1306.0 158 265 0 NA 225 303 0 NA 688 1050 2281 NA 993 1446 2471 NA
1498341600.0 1315.0 159 268 0 NA 225 304 0 NA 812 1130 2290 NA 1324 1577 2430 NA
1498341600.0 1316.0 161 267 0 NA 227 305 0 NA 769 1187 2288 NA 1079 1545 2440 NA
1498341600.0 1318.0 158 267 0 NA 225 304 0 NA 808 1085 2303 NA 1318 1487 2462 NA
1498341600.0 1322.0 150 262 0 NA 226 304 0 NA 821 1300 2343 NA 997 1708 2586 NA
1498341600.0 1323.0 158 264 0 NA 225 301 0 NA 792 1059 2257 NA 1317 1487 2415 NA
1498341600.0 1325.4 174 279 0 NA 238 311 0 NA 1185 1669 2512 NA 1671 1997 2643 NA
1498341600.0 1334.0 173 272 0 NA 238 310 0 NA 857 1287 2452 NA 1166 1670 2554 NA
1498341600.0 1335.0 155 266 0 NA 236 308 0 NA 849 1196 2413 NA 1003 1476 2657 NA
1498341600.0 1340.0 163 270 0 NA 228 306 0 NA 863 1200 2370 NA 1305 1524 2532 NA
1498341600.0 1344.0 174 273 0 NA 238 311 0 NA 922 1455 2464 NA 1237 1886 2578 NA
1498341600.0 1350.0 157 266 0 NA 237 309 0 NA 908 1287 2527 NA 1044 1593 2848 NA
1498341600.0 1351.0 159 267 0 NA 237 309 0 NA 869 1243 2407 NA 1011 1556 2631 NA
1498341600.0 1354.0 159 264 0 NA 236 309 0 NA 880 1326 2448 NA 1017 1649 2694 NA
1498341600.0 14.0 83 188 0 NA 151 236 0 NA 2932 3038 896 NA 3079 3329 986 NA
1498341600.0 4.29 28 211 0 123 97 256 0 207 166 4482 1012 1045 212 5082 1127 1183
1498341600.0 4.37 62 225 0 NA 122 274 0 NA 193 6533 1100 NA 269 7114 1156 NA
1498341600.0 44.0 79 196 0 NA 151 236 0 NA 2874 3226 862 NA 3001 3612 963 NA
